player_name,fd_position,true_position,projected_min,salary,team,opponent,location,implied_total,fp_pg,fp_per_min,usg_pct,usg_boost,fppm_adj,ref_weight,dvp_weight,line_weight,games_pct,gp_weight,low_gp_flag,min_sd,omega,omega_weight,proj_fp,fp_sd,ceiling,floor,fp_range,upside_ratio,hist_max_fp,hist_min_fp,team_days_rest,team_is_b2b,team_is_3in4,load_mgmt_risk,opp_days_rest,opp_is_b2b,rest_advantage_days,tier,raw_fp_sd,tier_cv,tier_expected_sd,value_ratio,value_vs_tier,archetype
Jonathan Mogbo,C,C,7.61,3500,TOR,CLE,away,129.0,5.54,0.8935,11.1,0.48490683229813664,0.9208229710144926,0.9818583868898741,1.045606777985912,1.1469431833670591,83.3,1.0,False,5.63,0.729,1.0229,8.440207596103237,5.7377565,17.0,2.7,14.3,1.014,24.2,-1.0,3,False,False,False,3,False,0,punt,5.46,0.64,6.69,2.53,0.054,Traditional Big
Josh Okogie,SG/SF,SG,12.43,3700,HOU,LAL,away,102.5,11.47,0.6592,11.3,0.6415432960893855,0.6853976759776538,1.0076429727476555,1.020474577431684,0.9069671283853628,162.5,1.0,False,8.22,0.9,1.04,8.263185698856953,7.32108,19.2,0.9,18.3,1.324,28.4,-1.0,3,False,False,False,3,False,0,punt,7.93605,1.075,5.08,1.82,-0.242,3-and-D Wing
Ronald Holland,PF/SF,PF,7.61,3500,DET,ORL,home,115.5,18.1,0.9095,18.9,1.4923271375464686,0.9597693159851302,0.9923570272523445,1.0403340291211176,1.0269012650865201,162.5,1.0,False,5.22,0.9,1.04,8.05293697445825,6.578355,17.9,1.5,16.4,1.223,35.3,0.5,2,False,False,False,2,False,0,punt,6.4504,0.8,6.09,2.3,-0.042,3-and-D Wing
Thomas Bryant,C,C,6.2,3500,CLE,TOR,home,130.5,12.78,1.0475,18.6,0.0,1.0475,0.9868632842358697,1.0559586448924234,1.1236743215031315,125.0,1.0,False,6.29,0.89,1.039,7.901428720187674,8.544757500000001,20.7,0.0,20.7,1.62,32.0,-1.0,3,False,False,False,3,False,0,punt,8.308499999999999,1.053,5.96,2.25,-0.062,Traditional Big
Bronny James,PG,SG,11.35,3500,LAL,HOU,home,106.0,6.5,0.7303,16.7,1.4751236476043277,0.7754555664605872,1.0013448117769443,0.9542038629827561,0.9187703763530883,87.5,1.0,False,7.18,0.639,1.0139,7.833930398983509,6.3059652999999996,17.3,1.5,15.8,1.208,25.6,-1.0,3,False,False,False,3,False,0,punt,6.465349999999999,0.785,6.19,2.34,-0.025,Combo Guard
Jaylon Tyson,SF/SG,SF,7.61,3700,CLE,TOR,home,130.5,24.72,0.919,19.3,0.0,0.919,0.9868632842358697,0.9697271592441209,1.1236743215031315,137.5,1.0,False,6.4,0.9,1.04,7.821328277037143,7.9934632,19.8,0.0,19.8,1.532,47.2,4.0,3,False,False,False,3,False,0,punt,10.314,1.075,5.69,2.03,-0.154,3-and-D Wing
Gradey Dick,SF,SF,7.68,3500,TOR,CLE,away,129.0,10.83,0.7736,18.7,0.8169151138716355,0.7972564637681159,0.9818583868898741,1.0123045225092278,1.1469431833670591,158.3,1.0,False,6.9,0.9,1.04,7.259296649962944,5.05,14.8,2.2,12.600000000000001,1.039,37.7,-1.0,3,False,False,False,3,False,0,punt,7.99,1.075,3.55,1.34,-0.442,3-and-D Wing
Noah Penda,SF,SF,8.05,3500,ORL,DET,away,111.0,11.14,0.8703,14.8,1.1352109020116807,0.9170285022712524,0.9890594394307187,0.9267866649420156,1.0088522870978687,122.9,1.0,False,8.24,0.74,1.024,6.990502938470503,6.677129600000001,17.0,0.3,16.7,1.432,44.4,0.0,2,False,False,False,2,False,0,punt,9.84,1.075,5.03,1.9,-0.208,3-and-D Wing
Jake LaRavia,PF/SF,SF,9.0,3600,LAL,HOU,home,106.0,20.0,0.7968,14.4,1.2719629057187019,0.8460673632148376,1.0013448117769443,0.9265311704114112,0.9187703763530883,170.8,1.0,False,8.06,0.9,1.04,6.750430366324251,9.7688304,21.4,0.0,21.4,2.17,50.1,1.4,3,False,False,False,3,False,0,punt,10.07525,0.988,7.71,2.83,0.179,3-and-D Wing
Dean Wade,PF/SF,PF,8.44,3700,CLE,TOR,home,130.5,16.09,0.7215,9.9,0.0,0.7215,0.9868632842358697,0.9373896879620927,1.1236743215031315,122.9,1.0,False,5.21,0.9,1.04,6.583089217271387,6.9880352,17.1,0.0,17.1,1.598,40.1,1.4,3,False,False,False,3,False,0,punt,7.84055,1.075,5.29,1.89,-0.213,Stretch 4
